idOncoTree1	plot_color
Biliary_Tract	aquamarine
Bladder_Urinary_Tract	chartreuse
Blood	yellowgreen
Bone	coral
Bowel	orange
Brain_CNS	sienna
Breast	darkblue
Esophagus_Stomach	chocolate
Head_Neck	cyan
Kidney	red
Liver	darkgoldenrod
Lung	steelblue
Lymph	darkgray
Mesothelium	darkred
Ovary	purple
Pancreas	gold
Prostate	yellow
Skin	darkolivegreen
Soft_Tissue	deeppink
Thyroid	khaki
Uterus	tomato
Adrenal_Gland	tan
Ampulla_Vater	violet
Cervix	violetred
Eye	pink
Other	blue
Penis	magenta
Periphal_Nervous_System	lightyellow
Peritoneum	navy
Pleura	darkred
Testis	green
Thymus	gray
Vulva_Vagina	coral
